data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,12,162493712,1.400,1,14668231
2022,5,165032142,12.300,1,15010580
2022,12,162487344,1.000,1,14667245
2022,5,162493727,94.000,1,14668232
2022,5,162493730,3.000,1,14668233
2022,8,162493734,0.100,1,14668234
2022,16,162493739,21.000,9,14668235
2022,5,162493743,10.500,1,14668236
2022,12,162493746,150.000,1,14668237
2022,12,162493754,2.000,1,14668238
2022,12,162483940,0.050,1,14666540
2022,5,162493757,19.500,1,14668239
2022,12,162483952,2.000,1,14666542
2022,2,162493759,1.000,1,14668240
2022,5,162493761,1.000,1,14668241
2022,8,162483956,6.400,1,14666545
2022,12,162483972,2.000,1,14666546
2022,1,162493767,0.300,1,14668242
2022,16,162483989,0.200,1,14666551
2022,8,162484026,43.200,1,14666556
2022,12,162484029,17.300,1,14666557
2022,16,162484032,2.000,1,14666558
2022,5,162484045,1.000,1,14666560
2022,12,162484062,1.000,1,14666566
2022,12,162484064,8.000,1,14666567
2022,16,162484081,1.000,1,14666568
2022,5,162484082,214.200,1,14666569
2022,12,162484101,0.500,1,14666570
2022,12,162484107,4.040,1,14666571
2022,8,162484110,2.000,1,14666572
2022,12,162484116,0.400,1,14666573
2022,5,162484117,1.000,1,14666574
2022,2,162484123,1.000,1,14666576
2022,5,162484124,2.000,1,14666577
2022,12,162484122,2.000,1,14666575
2022,1,162484125,0.400,1,14666578
2022,12,162484126,0.300,1,14666579
2022,12,162484131,21.400,1,14666580
2022,16,162484132,16.000,1,14666581
2022,5,162484141,0.900,1,14666582
2022,5,165032167,0.500,1,15010583
2022,12,162484145,2.500,1,14666584
2022,16,162484144,7.500,1,14666583
2022,2,162484148,0.400,1,14666585
2022,12,162484154,10.000,9,14666586
2022,12,162484155,1.000,1,14666587
2022,5,165032176,3.000,1,15010584
2022,5,162484162,1.000,1,14666588
2022,2,165032188,0.330,1,15010585
2022,12,162484175,1.000,1,14666589
2022,11,162484177,2.200,1,14666590
2022,13,165032188,9.000,1,15010586
2022,5,165032218,1.000,1,15010590
2022,12,162484180,0.100,1,14666591
2022,8,162484181,4.430,1,14666592
2022,12,162484184,0.020,1,14666594
2022,12,162484182,20.090,1,14666593
2022,5,162484188,1.000,1,14666595
2022,8,162484189,0.100,1,14666596
2022,12,162484191,0.010,1,14666597
2022,12,162484192,0.500,1,14666598
2022,2,165031782,0.400,1,15010504
2022,16,162484195,5.000,1,14666599
2022,16,162484205,10.000,1,14666600
2022,5,165051169,1.000,1,15012411
2022,8,162484215,1.000,9,14666602
2022,5,162484218,10.200,1,14666603
2022,7,162484220,2.000,1,14666604
2022,12,162484221,1.100,1,14666605
2022,16,165051169,1.000,1,15012412
2022,5,165051173,2.000,1,15012413
2022,5,165051176,7.800,1,15012414
2022,5,165051189,0.010,1,15012415
2022,5,162484232,49.300,1,14666606
2022,8,162484234,2.500,1,14666607
